Date,Open ,High,Low,Close,Adj Close,Volume
29-Jun-25,"107,327.82","108,526.30","107,230.11","108,385.57","108,385.57","35,534,874,438"
28-Jun-25,"107,090.55","107,567.88","106,883.98","107,327.70","107,327.70","30,037,708,335"
27-Jun-25,"106,954.92","107,772.47","106,449.99","107,088.43","107,088.43","45,353,692,675"
26-Jun-25,"107,375.07","108,305.55","106,666.35","106,960.00","106,960.00","43,891,990,613"
25-Jun-25,"106,047.41","108,168.40","105,881.39","107,361.26","107,361.26","51,624,120,283"
24-Jun-25,"105,571.52","106,316.83","104,740.24","106,045.63","106,045.63","48,822,986,421"
23-Jun-25,"100,987.48","106,116.86","99,705.75","105,577.77","105,577.77","65,237,759,656"
22-Jun-25,"102,212.03","103,351.63","98,286.20","100,987.14","100,987.14","65,536,997,201"
21-Jun-25,"103,315.08","104,015.78","100,973.06","102,257.41","102,257.41","38,360,555,118"
20-Jun-25,"104,681.03","106,539.38","102,372.21","103,309.60","103,309.60","50,951,862,476"
19-Jun-25,"104,886.77","105,250.89","103,940.77","104,684.29","104,684.29","37,333,806,920"
18-Jun-25,"104,602.07","105,581.85","103,602.27","104,883.33","104,883.33","47,318,089,133"
17-Jun-25,"106,794.12","107,750.20","103,396.53","104,601.12","104,601.12","55,964,092,176"
16-Jun-25,"105,555.59","108,915.38","104,997.63","106,796.76","106,796.76","50,366,626,945"
15-Jun-25,"105,464.84","106,157.10","104,519.88","105,552.02","105,552.02","36,744,307,742"
14-Jun-25,"106,108.09","106,203.76","104,379.37","105,472.41","105,472.41","38,007,870,453"
13-Jun-25,"105,924.59","106,182.55","102,822.02","106,090.97","106,090.97","69,550,440,846"
12-Jun-25,"108,685.91","108,780.70","105,785.69","105,929.05","105,929.05","54,843,867,968"
11-Jun-25,"110,261.80","110,384.22","108,086.33","108,686.63","108,686.63","50,842,662,052"
10-Jun-25,"110,295.69","110,380.13","108,367.71","110,257.23","110,257.23","54,700,101,509"
9-Jun-25,"105,793.02","110,561.42","105,400.23","110,294.10","110,294.10","55,903,193,732"
8-Jun-25,"105,617.51","106,497.06","105,075.33","105,793.65","105,793.65","36,626,232,328"
7-Jun-25,"104,390.65","105,972.76","103,987.31","105,615.63","105,615.63","38,365,033,776"
6-Jun-25,"101,574.37","105,376.77","101,169.57","104,390.34","104,390.34","48,856,653,697"
5-Jun-25,"104,750.78","105,936.69","100,436.88","101,575.95","101,575.95","57,479,298,400"
4-Jun-25,"105,434.37","105,997.70","104,232.70","104,731.98","104,731.98","44,544,857,105"
3-Jun-25,"105,888.48","106,813.58","104,920.84","105,432.47","105,432.47","46,196,508,367"
2-Jun-25,"105,649.81","105,958.31","103,727.55","105,881.53","105,881.53","45,819,706,290"
1-Jun-25,"104,637.30","105,884.55","103,826.95","105,652.10","105,652.10","37,397,056,873"
31-May-25,"103,994.72","104,927.10","103,136.12","104,638.09","104,638.09","38,997,843,858"
30-May-25,"105,646.21","106,308.95","103,685.79","103,998.57","103,998.57","57,655,287,183"
29-May-25,"107,795.57","108,910.05","105,374.40","105,641.76","105,641.76","56,022,752,042"
